replay id,replay title,map,date,result,team name,opposing team name,score,goals,assists,saves,shots,shots conceded,goals conceded,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,total distance,time slow speed,time boost speed,time supersonic speed,time on ground,time low in air,time high in air,time powerslide,count powerslide,time in front of ball,time behind ball,time in front of ball,time defensive half,time offensive half,time defensive third,time neutral third,time offensive third,demos inflicted,demos taken
8c6cfd0e-8059-45e9-82de-a7901ae77f80,8c6cfd0e-8059-45e9-82de-a7901ae77f80,Champions Field (Day),2020-12-08 20:05:20,loss,BOOSTIALITY,RIHANNAS TOILET,850,2,1,3,3,7,3,66.67,781,151.64,4748,3219,1529,43,133,888,461,427,5,38,91.9,211.9,755,1027,47,1238945,717.14,287.28,61.77,766.98,284.04,15.18,19.61,140,274.05,792.14,274.05,779.01,287.18,609.24,326.79,130.19,1,0
8c6cfd0e-8059-45e9-82de-a7901ae77f80,8c6cfd0e-8059-45e9-82de-a7901ae77f80,Champions Field (Day),2020-12-08 20:05:20,win,RIHANNAS TOILET,BOOSTIALITY,879,3,2,1,7,3,2,42.86,888,154.53,5265,3974,1291,47,111,933,625,308,7,26,118,150.16,806,741,73,1277109,658.91,329.58,73.1,712.16,336.49,12.95,21.98,148,210.72,850.87,210.72,731.06,330.53,567.63,299.34,194.62,0,1
d901524d-029e-4fd2-a771-987bb7062bc0,2020-12-10.21.01 The Pontiac Bandit Private Loss,Urban Central,2020-12-10 21:01:32,loss,RIHANNAS TOILET,MOTION W LOTION,553,0,0,2,4,3,1,0,842,156.42,4560,2999,1561,36,138,915,411,504,5,44,112.14,144.97,816,650,86,1196944,584.8,313.71,67.76,664.08,299.62,2.57,24.66,155,223.13,743.14,223.13,651.95,314.31,498.38,277.16,190.73,1,0
d901524d-029e-4fd2-a771-987bb7062bc0,2020-12-10.21.01 The Pontiac Bandit Private Loss,Urban Central,2020-12-10 21:01:32,win,MOTION W LOTION,RIHANNAS TOILET,703,1,1,2,3,4,0,33.33,910,157.97,4872,3466,1406,44,117,768,260,508,3,38,66.66,79.86,878,939,40,1310010,521.04,350.03,94.04,621.01,333.66,10.45,22.97,141,278.77,686.35,278.77,701.71,263.39,560.05,251.6,153.47,0,1
30aae2cc-8d3a-4440-bb34-87593d51e48a,2020-12-17.21.34 The Pontiac Bandit Private Loss,Beckwith Park (Midnight),2020-12-17 21:34:26,loss,LITTY KITTIES,BRONZEBACK,444,0,0,1,5,7,4,0,824,161.63,4659,3172,1487,40,134,874,465,409,7,35,96.07,142.7,762,912,240,1267412,625.07,316.47,85.39,701.37,304.3,21.27,22.8,120,300.66,726.28,300.66,740.47,286.47,592.4,263.92,170.63,1,0
30aae2cc-8d3a-4440-bb34-87593d51e48a,2020-12-17.21.34 The Pontiac Bandit Private Loss,Beckwith Park (Midnight),2020-12-17 21:34:26,win,BRONZEBACK,LITTY KITTIES,1122,4,2,4,7,5,0,57.14,955,146.65,5428,3909,1519,46,126,939,407,532,5,45,103.11,101.32,757,628,94,1344798,572.07,369.57,82.45,679.23,317.52,27.34,22.34,146,191.39,832.7,191.39,683.77,340.32,538.17,268.22,217.71,0,1
0bf785ec-f985-4ba2-a7db-614473395013,2021-01-06.21.58 Player Private Loss,Utopia Coliseum (Dusk),2021-01-06 21:58:31,loss,RIHANNAS TOILET,WHAT A PLAY,547,1,0,2,3,5,2,33.33,908,150.96,5141,3741,1400,44,123,1102,790,312,9,28,94.9,127.78,729,667,109,1258237,594.88,331.43,70.59,698.7,290.32,7.89,22.41,160,258.82,738.09,258.82,715.64,281.26,575.82,271.17,149.92,1,1
0bf785ec-f985-4ba2-a7db-614473395013,2021-01-06.21.58 Player Private Loss,Utopia Coliseum (Dusk),2021-01-06 21:58:31,win,WHAT A PLAY,RIHANNAS TOILET,652,2,0,1,5,3,1,40,871,143.51,4726,3364,1362,43,110,621,325,296,4,25,168.37,138.81,1088,952,73,1345522,529.42,373.97,93.38,668.21,307.43,21.14,18.2,85,254.25,742.51,254.25,677.65,319.12,517.5,298.66,180.62,1,1
7d3443e5-cef6-49de-9592-3eeebd3c3638,2021-01-07.20.28 David Private Win,Champions Field,2021-01-07 20:28:01,loss,MOTION W LOTION,BRONZEBACK,829,2,1,4,6,9,5,33.33,879,147.68,5152,3782,1370,46,120,394,0,394,0,34,107.7,81.21,820,818,0,1427297,582.62,409.78,93.73,700.49,357.28,28.36,16.29,118,279.37,806.76,279.37,681.22,404.91,507.91,337.09,241.11,2,2
7d3443e5-cef6-49de-9592-3eeebd3c3638,2021-01-07.20.28 David Private Win,Champions Field,2021-01-07 20:28:01,win,BRONZEBACK,MOTION W LOTION,1508,5,3,4,9,6,2,55.56,963,155.98,5569,4178,1391,50,126,822,420,402,5,37,66.52,118.46,829,832,86,1298828,673.1,326.84,81.01,729.72,321.89,29.34,22.32,121,227.35,853.59,227.35,817.98,262.97,670.6,269.81,140.54,2,2
8de6d7b4-8541-4533-a570-a500b9fa1aae,2021-01-15.19.20 Player Private Loss,Salty Shores (Night),2021-01-15 19:20:53,loss,AERIAL AIRHEADS,BOOSTIALITY,474,0,0,2,2,4,1,0,698,151.35,3735,2134,1601,27,139,498,174,324,2,27,51.99,126.96,406,598,24,1184720,587.78,314.8,43.02,629.88,291.01,24.7,24.97,95,271.04,674.54,271.04,699.3,246.27,570.33,234.89,140.36,0,1
8de6d7b4-8541-4533-a570-a500b9fa1aae,2021-01-15.19.20 Player Private Loss,Salty Shores (Night),2021-01-15 19:20:53,win,BOOSTIALITY,AERIAL AIRHEADS,622,1,0,1,4,2,0,25,824,169.55,4466,3123,1343,38,118,986,530,456,6,35,69.07,154.81,789,646,69,1169204,602.54,279.56,66.61,673.16,253.53,22.02,25.44,155,165.93,782.78,165.93,613.46,335.24,477.49,240.15,231.06,1,0
3424f75b-c330-4920-badc-394709ace98e,2021-02-03.20.44 kevinpeta Private Loss,Rivals Arena,2021-02-03 20:44:05,win,WHAT A PLAY,GOALSNEXTDOOR,849,3,0,2,4,5,2,75,863,148.54,5372,3765,1607,47,138,1193,801,392,10,33,140.45,149.46,947,963,197,1563185,694.05,406.53,103.79,807.86,369.3,27.2,28.18,129,327.08,877.27,327.08,846.77,357.58,663.82,318.54,222,0,0
3424f75b-c330-4920-badc-394709ace98e,2021-02-03.20.44 kevinpeta Private Loss,Rivals Arena,2021-02-03 20:44:05,loss,GOALSNEXTDOOR,WHAT A PLAY,762,2,1,1,5,4,3,40,813,158.84,5477,4087,1390,50,120,1326,911,415,11,36,94.03,169.11,547,905,193,1579148,674.46,445.24,82.52,735.2,432.88,34.13,19.65,123,395.22,807,395.22,714.86,487.36,539.32,373.96,288.94,0,0
6e1cada4-e2df-4257-b64c-c5079c05e875,2021-02-03.22.27 kevinpeta Private Loss,Neo Tokyo (Standard),2021-02-03 22:27:28,win,BANG BROS,LITTY KITTIES,704,2,1,1,5,4,1,40,853,142.92,4628,3261,1367,44,121,752,406,346,5,30,70.45,106.41,966,1173,91,1355686,521.96,379.71,94.92,645.78,328.93,21.88,14.39,82,224.88,771.73,224.88,670.11,326.49,488.41,319.93,188.27,0,1
6e1cada4-e2df-4257-b64c-c5079c05e875,2021-02-03.22.27 kevinpeta Private Loss,Neo Tokyo (Standard),2021-02-03 22:27:28,loss,LITTY KITTIES,BANG BROS,604,1,1,2,4,5,2,25,801,174.57,4443,3010,1433,40,130,448,225,223,3,22,77.35,140.75,488,973,86,1232182,613.73,309.05,75.82,664.84,313.66,20.1,23.92,193,219.81,778.78,219.81,776.11,222.49,643.3,224.77,130.52,1,0
2643bddf-cd45-4148-bdc4-47d6df013157,2020-12-10.23.01 The Pontiac Bandit Private Win,Beckwith Park (Midnight),2020-12-10 23:01:18,win,GOALDEN SHOWERS,GOALSNEXTDOOR,687,1,1,2,4,2,0,25,976,133.71,5089,3391,1698,42,148,1302,843,459,10,41,150.5,86.75,882,826,160,1277192,502.83,360.07,84.18,656.56,266,24.51,27.38,125,237.32,709.74,237.32,618.92,328.14,470.38,279.37,197.32,2,0
2643bddf-cd45-4148-bdc4-47d6df013157,2020-12-10.23.01 The Pontiac Bandit Private Win,Beckwith Park (Midnight),2020-12-10 23:01:18,loss,GOALSNEXTDOOR,GOALDEN SHOWERS,436,0,0,1,2,4,1,0,834,153.21,4405,3055,1350,36,123,996,586,410,7,37,70.3,124.22,559,579,119,1220042,540.67,342.13,58.49,649.21,275.77,16.32,21.47,115,288.1,653.2,288.1,629.08,312.21,463.55,291.8,185.93,0,2
1116921e-6fda-4a6d-aba8-99504719d079,2020-12-15.22.09 ttvkevinpeta6 Private Loss,Aquadome,2020-12-15 22:09:03,loss,AERIAL AIRHEADS,BOOM SQUAD,478,1,0,0,3,5,3,33.33,704,122.73,3741,2006,1735,25,139,630,163,467,2,37,148.26,86.16,343,526,45,1201417,711.39,273.44,47.2,723.31,298.88,9.84,15.55,61,275.96,756.07,275.96,780.61,251.42,614.04,285.02,132.98,0,2
1116921e-6fda-4a6d-aba8-99504719d079,2020-12-15.22.09 ttvkevinpeta6 Private Loss,Aquadome,2020-12-15 22:09:03,win,BOOM SQUAD,AERIAL AIRHEADS,887,3,1,1,5,3,1,60,907,153.99,5209,4012,1197,51,106,798,523,275,9,24,106.05,152.46,889,988,312,1363102,565.63,391.87,81.4,687.95,337.23,13.74,16.82,92,230.55,808.38,230.55,684.71,354.21,526.06,291.44,221.43,2,0
2875e320-b683-4731-b66e-256c9e9c6594,2020-12-18.20.55 Player Private Win,Aquadome,2020-12-18 20:55:06,win,CROSSBAR KINGS,SMUT DADDIES,685,1,1,3,5,3,0,20,866,149.52,4547,2994,1553,39,140,1186,711,475,9,44,79.17,122.48,491,940,187,1260090,518.1,336.46,81.27,609.14,314.12,12.59,18.2,151,225.42,710.42,225.42,577.42,358.42,436.64,262.38,236.82,5,3
2875e320-b683-4731-b66e-256c9e9c6594,2020-12-18.20.55 Player Private Win,Aquadome,2020-12-18 20:55:06,loss,SMUT DADDIES,CROSSBAR KINGS,602,0,0,3,3,5,1,0,869,162.78,4399,3311,1088,47,90,756,525,231,9,22,116.51,116.05,698,1301,380,1204974,548.78,297.07,83.98,619.96,297.75,12.11,24.38,140,309.67,620.15,309.67,622.62,307.19,481.26,251.84,196.73,3,5
016520af-4317-4f3d-a298-b7c85643d765,2021-01-04.21.48 Player Private Win,Beckwith Park (Midnight),2021-01-04 21:48:18,win,TOXIC BROMANCE,BOOSTIALITY,739,2,1,1,5,3,1,40,886,160.42,4896,3866,1030,46,93,975,734,241,8,24,113.51,187.34,480,767,73,1234411,609.8,321.96,70.77,650.17,331.26,21.1,19.95,105,230.54,772,230.54,654.52,348.02,493.17,319.38,189.98,2,2
016520af-4317-4f3d-a298-b7c85643d765,2021-01-04.21.48 Player Private Win,Beckwith Park (Midnight),2021-01-04 21:48:18,loss,BOOSTIALITY,TOXIC BROMANCE,670,1,1,3,3,5,2,33.33,720,141.18,3946,2267,1679,29,140,977,596,381,8,32,104.83,113.93,643,691,203,1147663,688.54,262.28,51.8,704.94,268.13,29.55,25.14,156,252.05,750.57,252.05,736.27,266.35,576.92,283.54,142.17,2,2
