team name,player name,games,wins,win percentage,score,score per game,goals,goals per game,assists,assists per game,saves,saves per game,shots,shots per game,shots conceded,shots conceded per game,goals conceded,goals conceded per game,goals conceded while last defender,goals conceded while last defender per game,shooting percentage,bpm per game,avg boost amount per game,amount collected,amount collected per game,amount collected big pads,amount collected big pads per game,amount collected small pads,amount collected small pads per game,count collected big pads,count collected big pads per game,count collected small pads,count collected small pads per game,amount stolen,amount stolen per game,amount stolen big pads,amount stolen big pads per game,amount stolen small pads,amount stolen small pads per game,count stolen big pads,count stolen big pads per game,count stolen small pads,count stolen small pads per game,0 boost time,0 boost time per game,100 boost time,100 boost time per game,amount used while supersonic,amount used while supersonic per game,amount overfill total,amount overfill total per game,amount overfill stolen,amount overfill stolen per game,avg speed per game,total distance,total distance per game,time slow speed,time slow speed per game,time boost speed,time boost speed per game,time supersonic speed,time supersonic speed per game,time on ground,time on ground per game,time low in air,time low in air per game,time high in air,time high in air per game,time powerslide,time powerslide per game,avg powerslide time per game,count powerslide,count powerslide per game,time most back,time most back per game,time most forward,time most forward per game,time in front of ball,time in front of ball per game,time behind ball,time behind ball per game,time defensive half,time defensive half per game,time offensive half,time offensive half per game,time defensive third,time defensive third per game,time neutral third,time neutral third per game,time offensive third,time offensive third per game,demos inflicted,demos inflicted per game,demos taken,demos taken per game
MOTION W LOTION,Icy_killa420,61,27,44.26,27957,458.31,74,1.21,22,0.36,106,1.74,201,3.3,381,6.25,142,2.33,45,0.74,36.82,380.7,50.58,139271,2283.13,109131,1789.03,30140,494.1,1351,22.15,2582,42.33,18143,297.43,11066,181.41,7077,116.02,134,2.2,602,9.87,2626.3,43.05,2469.75,40.49,26625,436.48,25941,425.26,2274,37.28,1476.69,31152464,510696.12,10630.3,174.27,9062.83,148.57,2679.96,43.93,14924.84,244.67,7125.96,116.82,322.28,5.28,385.94,6.33,0.15,2629,43.1,8662.5,142.01,6586.8,107.98,4891,80.18,17482.11,286.59,16105.3,264.02,6267.72,102.75,12923.53,211.86,5772.06,94.62,3677.45,60.29,27,0.44,36,0.59
CROSSBAR KINGS,Illenial,51,35,68.63,21058,412.9,65,1.27,29,0.57,51,1,155,3.04,273,5.35,83,1.63,22,0.43,41.94,341.48,50.91,105668,2071.92,72444,1420.47,33224,651.45,938,18.39,2944,57.73,20799,407.82,11771,230.8,9028,177.02,151,2.96,796,15.61,1653.74,32.43,1886.11,36.98,15448,302.9,21832,428.08,3448,67.61,1475.26,25893958,507724.66,8698.2,170.55,8029.29,157.44,1852.29,36.32,11054.24,216.75,7184.94,140.88,340.68,6.68,353.37,6.93,0.1,3419,67.04,6184.4,121.26,5834.9,114.41,4185.91,82.08,14393.9,282.23,12090.22,237.06,6489.62,127.25,9015.26,176.77,5766.66,113.07,3797.97,74.47,47,0.92,30,0.59
WHAT A PLAY,Jacob,50,10,20,11508,230.16,15,0.3,17,0.34,45,0.9,63,1.26,365,7.3,158,3.16,47,0.94,23.81,262.95,51.38,77796,1555.92,52969,1059.38,24827,496.54,693,13.86,2156,43.12,14311,286.22,7639,152.78,6672,133.44,96,1.92,570,11.4,2050,41,1753.42,35.07,10101,202.02,16739,334.78,2031,40.62,1300.29,22203670,444073.41,11155.21,223.1,6078.25,121.57,937.67,18.75,12361.01,247.22,5487.24,109.74,322.85,6.46,258.59,5.17,0.2,1295,25.9,5369.8,107.4,6275.8,125.52,5213.37,104.27,12957.73,259.15,12718.41,254.37,5452.65,109.05,10059.4,201.19,4843.8,96.88,3267.91,65.36,29,0.58,28,0.56
WHAT A PLAY,Kale,47,10,21.28,17269,367.43,43,0.91,2,0.04,63,1.34,120,2.55,340,7.23,143,3.04,64,1.36,35.83,329.64,50.52,90780,1931.49,68711,1461.94,22069,469.55,818,17.4,1930,41.06,16585,352.87,11687,248.66,4898,104.21,134,2.85,427,9.09,2135.88,45.44,3048.23,64.86,10865,231.17,13418,285.49,1780,37.87,1404.2,22569128,480194.22,9329.27,198.5,6281.57,133.65,1448.87,30.83,11539.96,245.53,5183.05,110.28,336.64,7.16,293.26,6.24,0.15,1979,42.11,5824.9,123.93,5389,114.66,4247.89,90.38,12811.74,272.59,12130.08,258.09,4929.61,104.89,9361.59,199.18,4897.3,104.2,2800.75,59.59,36,0.77,23,0.49
WHAT A PLAY,Kale_is_good856,3,0,0,765,255,3,1,0,0,3,1,4,1.33,25,8.33,15,5,6,2,75,278.74,42.78,5302,1767.33,3848,1282.67,1454,484.67,45,15,128,42.67,602,200.67,282,94,320,106.67,4,1.33,29,9.67,159.76,53.25,160.22,53.41,864,288,585,195,28,9.33,1309.02,1321467,440489,703.62,234.54,327.22,109.07,74.67,24.89,795.39,265.13,287.37,95.79,22.75,7.58,22.95,7.65,0.19,124,41.33,378.1,126.03,311.6,103.87,259.06,86.35,846.45,282.15,819,273,286.51,95.5,639.09,213.03,322.44,107.48,143.99,48,3,1,5,1.67
GOALSNEXTDOOR,LEFTnip420,59,25,42.37,6525,110.59,12,0.2,13,0.22,19,0.32,44,0.75,331,5.61,128,2.17,41,0.69,27.27,125.33,49.24,43129,731,16083,272.59,27046,458.41,258,4.37,2317,39.27,8187,138.76,2100,35.59,6087,103.17,35,0.59,530,8.98,1195.25,20.26,3328.79,56.42,7465,126.53,10367,175.71,1513,25.64,1204.13,22998784,389809.91,15603.59,264.47,4268.88,72.35,477.48,8.09,15522.61,263.1,4512.54,76.48,314.77,5.34,332.76,5.64,0.31,1074,18.2,7710.2,130.68,5824,98.71,5619.48,95.25,14730.45,249.67,14484.82,245.51,5865.06,99.41,10619.69,179.99,6612.92,112.08,3117.32,52.84,12,0.2,32,0.54
BIGBOOSTERBRAND,Ladevo Boost,56,28,50,19833,354.16,46,0.82,26,0.46,64,1.14,133,2.38,342,6.11,111,1.98,39,0.7,34.59,294.05,55.9,101822,1818.25,77225,1379.02,24597,439.23,986,17.61,2213,39.52,19334,345.25,13146,234.75,6188,110.5,168,3,546,9.75,1527.16,27.27,2541.2,45.38,8576,153.14,22233,397.02,3770,67.32,1297.26,25202920,450052.16,12443.24,222.2,7047.42,125.85,1033.21,18.45,13703.54,244.71,6498.71,116.05,321.63,5.74,317.99,5.68,0.12,2665,47.59,7476.2,133.5,6121.4,109.31,4523.01,80.77,16000.81,285.73,14178.21,253.18,6345.62,113.31,10895.55,194.56,6048.04,108,3580.21,63.93,16,0.29,32,0.57
MOTION W LOTION,Milkman626,56,25,44.64,10347,184.77,18,0.32,22,0.39,26,0.46,77,1.38,356,6.36,130,2.32,36,0.64,23.38,180.18,51.88,64958,1159.96,32801,585.73,32157,574.23,452,8.07,2787,49.77,12295,219.55,4819,86.05,7476,133.5,66,1.18,647,11.55,1232.13,22,2087.11,37.27,10088,180.14,13094,233.82,1842,32.89,1364.27,26954652,481333.06,12395.41,221.35,7449.96,133.04,1088.59,19.44,14184.88,253.3,6459.15,115.34,289.98,5.18,289.15,5.16,0.16,1860,33.21,6681,119.3,6876.7,122.8,5753.77,102.75,15180.24,271.08,14676.13,262.07,6257.72,111.75,11221.15,200.38,6185.79,110.46,3527.04,62.98,21,0.38,25,0.45
BANG BROS,Ndowdle26,52,38,73.08,10505,202.02,25,0.48,21,0.4,30,0.58,69,1.33,294,5.65,90,1.73,27,0.52,36.23,293.26,47.15,93562,1799.27,64722,1244.65,28840,554.62,788,15.15,2495,47.98,15048,289.38,8326,160.12,6722,129.27,100,1.92,590,11.35,1817.86,34.96,2307.2,44.37,13532,260.23,13949,268.25,1685,32.4,1318.05,23917082,459943.88,11303.33,217.37,6707.28,128.99,1196.78,23.01,13134.19,252.58,5765.96,110.88,307.31,5.91,85.99,1.65,0.4,175,3.37,6638.8,127.67,6135.9,118,4845.64,93.19,14361.77,276.19,13711.44,263.68,5495.94,105.69,10715.95,206.08,5250.42,100.97,3241.05,62.33,23,0.44,19,0.37
BRONZEBACK,OvercastCone1,56,39,69.64,2976,53.14,7,0.12,3,0.05,6,0.11,12,0.21,292,5.21,94,1.68,21,0.38,58.33,195.65,54.15,68903,1230.41,39487,705.12,29416,525.29,520,9.29,2598,46.39,13016,232.43,5503,98.27,7513,134.16,82,1.46,660,11.79,1359.27,24.27,2101.22,37.52,11108,198.36,13538,241.75,2843,50.77,1258.68,23639530,422134.47,13623.81,243.28,5512.73,98.44,819.82,14.64,15632.19,279.15,4163.88,74.35,160.26,2.86,474.69,8.48,0.38,1215,21.7,6636.6,118.51,6238.1,111.39,5731.73,102.35,14224.53,254.01,13864.29,247.58,6092.07,108.79,10504.63,187.58,6080.35,108.58,3371.29,60.2,33,0.59,16,0.29
