team name,player name,games,wins,win percentage,score,score per game,goals,goals per game,assists,assists per game,saves,saves per game,shots,shots per game,shots conceded,shots conceded per game,goals conceded,goals conceded per game,goals conceded while last defender,goals conceded while last defender per game,shooting percentage,bpm per game,avg boost amount per game,amount collected,amount collected per game,amount collected big pads,amount collected big pads per game,amount collected small pads,amount collected small pads per game,count collected big pads,count collected big pads per game,count collected small pads,count collected small pads per game,amount stolen,amount stolen per game,amount stolen big pads,amount stolen big pads per game,amount stolen small pads,amount stolen small pads per game,count stolen big pads,count stolen big pads per game,count stolen small pads,count stolen small pads per game,0 boost time,0 boost time per game,100 boost time,100 boost time per game,amount used while supersonic,amount used while supersonic per game,amount overfill total,amount overfill total per game,amount overfill stolen,amount overfill stolen per game,avg speed per game,total distance,total distance per game,time slow speed,time slow speed per game,time boost speed,time boost speed per game,time supersonic speed,time supersonic speed per game,time on ground,time on ground per game,time low in air,time low in air per game,time high in air,time high in air per game,time powerslide,time powerslide per game,avg powerslide time per game,count powerslide,count powerslide per game,time most back,time most back per game,time most forward,time most forward per game,time in front of ball,time in front of ball per game,time behind ball,time behind ball per game,time defensive half,time defensive half per game,time offensive half,time offensive half per game,time defensive third,time defensive third per game,time neutral third,time neutral third per game,time offensive third,time offensive third per game,demos inflicted,demos inflicted per game,demos taken,demos taken per game
BOOM SQUAD,RLQS SEASON 2 CHAMP,39,19,48.72,14501,371.82,34,0.87,18,0.46,43,1.1,102,2.62,252,6.46,90,2.31,40,1.03,33.33,364.1,50.45,86303,2212.9,65627,1682.74,20676,530.15,796,20.41,1743,44.69,13588,348.41,8179,209.72,5409,138.69,109,2.79,430,11.03,1847.91,47.38,1626.33,41.7,12463,319.56,13674,350.62,2448,62.77,1452.09,19764128,506772.5,6911.32,177.21,6315.47,161.94,1217.66,31.22,8825.21,226.29,5314.7,136.27,304.57,7.81,293.56,7.53,0.16,1841,47.21,4340.9,111.31,5163,132.38,3622.28,92.88,10822.19,277.49,10072.15,258.26,4372.33,112.11,7872.1,201.85,3969.08,101.77,2603.25,66.75,18,0.46,23,0.59
BOOM SQUAD,alexgbuckets,35,18,51.43,12452,355.77,33,0.94,10,0.29,50,1.43,82,2.34,232,6.63,81,2.31,23,0.66,40.24,269.98,52.62,57234,1635.26,39854,1138.69,17380,496.57,496,14.17,1546,44.17,10432,298.06,6222,177.77,4210,120.29,84,2.4,373,10.66,948.85,27.11,1831.83,52.34,6469,184.83,10082,288.06,2161,61.74,1350.21,16698802,477108.62,7674.64,219.28,4663.33,133.24,761.65,21.76,8866.02,253.31,4025.09,115,208.54,5.96,171.58,4.9,0.19,930,26.57,3815.7,109.02,4478.4,127.95,3207.16,91.63,9892.47,282.64,9269.27,264.84,3830.24,109.44,7247.71,207.08,3573.74,102.11,2278.18,65.09,8,0.23,22,0.63
BOOM SQUAD,alexgbuckets1,4,1,25,806,201.5,1,0.25,0,0,3,0.75,8,2,20,5,9,2.25,3,0.75,12.5,297.88,51.04,6220,1555,4629,1157.25,1591,397.75,54,13.5,141,35.25,1517,379.25,1060,265,457,114.25,13,3.25,41,10.25,114.56,28.64,206.36,51.59,585,146.25,788,197,250,62.5,1352.57,1741485,435371.25,781.7,195.43,497.93,124.48,75.06,18.76,901.2,225.3,429.56,107.39,23.92,5.98,17.27,4.32,0.19,91,22.75,368.8,92.2,474.7,118.67,388.31,97.08,966.37,241.59,891.05,222.76,463.64,115.91,701.97,175.49,336.11,84.03,316.61,79.15,1,0.25,0,0
BOOSTIALITY,PimpedCaravan,51,26,50.98,4831,94.73,3,0.06,5,0.1,28,0.55,17,0.33,317,6.22,92,1.8,24,0.47,17.65,103.77,46.67,33969,666.06,13067,256.22,20902,409.84,173,3.39,1802,35.33,3710,72.75,773,15.16,2937,57.59,12,0.24,256,5.02,1614.6,31.66,3041.67,59.64,6119,119.98,4751,93.16,463,9.08,962.72,16806284,329534.97,16080.81,315.31,2339.84,45.88,319.06,6.26,15141.94,296.9,3485.29,68.34,112.51,2.21,435.25,8.53,0.47,919,18.02,8874.8,174.02,4346.4,85.22,3578.11,70.16,15161.7,297.29,15467.59,303.29,3272.15,64.16,13108.23,257.02,4046.99,79.35,1584.56,31.07,7,0.14,23,0.45
BOOSTIALITY,The Pontiac Bandit,51,26,50.98,25669,503.31,66,1.29,14,0.27,78,1.53,195,3.82,317,6.22,92,1.8,33,0.65,33.85,400.7,53.05,125895,2468.53,99128,1943.69,26767,524.84,1238,24.27,2332,45.73,27771,544.53,19489,382.14,8282,162.39,246,4.82,715,14.02,2120.1,41.57,2741.99,53.76,14582,285.92,24545,481.27,4670,91.57,1462.55,26103140,511826.28,9343.58,183.21,7213.67,141.44,2205.49,43.24,11250.47,220.6,6789.98,133.14,722.29,14.16,424.5,8.32,0.1,4313,84.57,4480.6,87.85,7695.5,150.89,4501.04,88.26,14261.63,279.64,12512.22,245.34,6250.48,122.56,9682.11,189.85,5198.91,101.94,3881.71,76.11,37,0.73,28,0.55
BOOSTIALITY,WhiteSox-15,51,26,50.98,13797,270.53,22,0.43,22,0.43,58,1.14,103,2.02,317,6.22,92,1.8,35,0.69,21.36,251.16,48.4,79580,1560.39,48318,947.41,31262,612.98,611,11.98,2697,52.88,15896,311.69,7809,153.12,8087,158.57,98,1.92,705,13.82,1748.27,34.28,2165.36,42.46,13038,255.65,12973,254.37,2025,39.71,1241.33,22096378,433262.31,12212.7,239.46,5563.79,109.09,953.68,18.7,13418.39,263.11,5018.87,98.41,292.91,5.74,582.97,11.43,0.17,3417,67,5587,109.55,6315,123.82,4510.58,88.44,14219.63,278.82,12881.72,252.58,5848.44,114.68,10157.02,199.16,5216.59,102.29,3356.68,65.82,13,0.25,40,0.78
BRONZEBACK,Exyxz,17,9,52.94,9018,530.47,26,1.53,9,0.53,25,1.47,84,4.94,98,5.76,36,2.12,15,0.88,30.95,507.63,48.41,50495,2970.29,42192,2481.88,8303,488.41,497,29.24,736,43.29,7966,468.59,5343,314.29,2623,154.29,62,3.65,236,13.88,909.12,53.48,608.57,35.8,9120,536.47,7105,417.94,716,42.12,1601.31,9192343,540726.06,2406.58,141.56,2609.4,153.49,1085.85,63.87,3432.73,201.93,2404.66,141.45,264.44,15.56,157.32,9.25,0.11,1456,85.65,1900.2,111.78,2167.3,127.49,1270.14,74.71,4831.71,284.22,4068.61,239.33,2033.22,119.6,3122.71,183.69,1784.52,104.97,1194.59,70.27,14,0.82,7,0.41
BRONZEBACK,OvercastCone1,46,30,65.22,2428,52.78,6,0.13,3,0.07,4,0.09,10,0.22,236,5.13,82,1.78,19,0.41,60,199.98,54.05,57421,1248.28,33233,722.46,24188,525.83,440,9.57,2143,46.59,11389,247.59,4977,108.2,6412,139.39,73,1.59,560,12.17,1128.47,24.53,1750.77,38.06,10317,224.28,11573,251.59,2434,52.91,1271.02,19596866,426018.81,11050.55,240.23,4607.78,100.17,738.87,16.06,12806.82,278.41,3455.82,75.13,134.52,2.92,397.86,8.65,0.38,1008,21.91,5510.9,119.8,5139.6,111.73,4796.8,104.28,11600.33,252.18,11362.81,247.02,5034.39,109.44,8582.6,186.58,4981.13,108.29,2833.41,61.6,29,0.63,16,0.35
BRONZEBACK,TheRealMrBest,46,30,65.22,14957,325.15,30,0.65,28,0.61,48,1.04,113,2.46,236,5.13,82,1.78,22,0.48,26.55,254.95,52.01,69322,1507,45039,979.11,24283,527.89,570,12.39,2092,45.48,13633,296.37,6938,150.83,6695,145.54,85,1.85,574,12.48,1123.91,24.43,1990.5,43.27,5576,121.22,12149,264.11,1538,33.43,1326.05,20389224,443244,9855.47,214.25,5635.89,122.52,872.33,18.96,10059.6,218.69,5780.25,125.66,523.86,11.39,253.17,5.5,0.18,1457,31.67,5279,114.76,5155.7,112.08,3966.18,86.22,12397.56,269.51,10948.87,238.02,5414.84,117.71,8540.62,185.67,4566.45,99.27,3256.64,70.8,17,0.37,21,0.46
BRONZEBACK,girlwblondehair,29,21,72.41,16862,581.45,63,2.17,7,0.24,37,1.28,141,4.86,138,4.76,46,1.59,26,0.9,44.68,478.66,48.42,78734,2714.97,63844,2201.52,14890,513.45,769,26.52,1262,43.52,12757,439.9,8135,280.52,4622,159.38,96,3.31,395,13.62,1577.66,54.4,1120.73,38.65,12773,440.45,13022,449.03,1506,51.93,1552,15117613,521297,4464.59,153.95,4186.24,144.35,1699.09,58.59,5733.82,197.72,4125.7,142.27,490.4,16.91,265.54,9.16,0.12,2294,79.1,3403.8,117.37,3507,120.93,2155.05,74.31,8194.89,282.58,6751.14,232.8,3598.8,124.1,5242.88,180.79,2921.15,100.73,2185.88,75.38,19,0.66,15,0.52
