team name,player name,games,wins,win percentage,score,score per game,goals,goals per game,assists,assists per game,saves,saves per game,shots,shots per game,shots conceded,shots conceded per game,goals conceded,goals conceded per game,goals conceded while last defender,goals conceded while last defender per game,shooting percentage,bpm per game,avg boost amount per game,amount collected,amount collected per game,amount collected big pads,amount collected big pads per game,amount collected small pads,amount collected small pads per game,count collected big pads,count collected big pads per game,count collected small pads,count collected small pads per game,amount stolen,amount stolen per game,amount stolen big pads,amount stolen big pads per game,amount stolen small pads,amount stolen small pads per game,count stolen big pads,count stolen big pads per game,count stolen small pads,count stolen small pads per game,0 boost time,0 boost time per game,100 boost time,100 boost time per game,amount used while supersonic,amount used while supersonic per game,amount overfill total,amount overfill total per game,amount overfill stolen,amount overfill stolen per game,avg speed per game,total distance,total distance per game,time slow speed,time slow speed per game,time boost speed,time boost speed per game,time supersonic speed,time supersonic speed per game,time on ground,time on ground per game,time low in air,time low in air per game,time high in air,time high in air per game,time powerslide,time powerslide per game,avg powerslide time per game,count powerslide,count powerslide per game,time most back,time most back per game,time most forward,time most forward per game,time in front of ball,time in front of ball per game,time behind ball,time behind ball per game,time defensive half,time defensive half per game,time offensive half,time offensive half per game,time defensive third,time defensive third per game,time neutral third,time neutral third per game,time offensive third,time offensive third per game,demos inflicted,demos inflicted per game,demos taken,demos taken per game
BOOM SQUAD,RLQS SEASON 2 CHAMP,17,10,58.82,7004,412,17,1,11,0.65,21,1.24,51,3,104,6.12,38,2.24,20,1.18,33.33,373.08,49.63,39922,2348.35,30376,1786.82,9546,561.53,367,21.59,797,46.88,6428,378.12,3723,219,2705,159.12,50,2.94,208,12.24,942.76,55.46,746.46,43.91,6376,375.06,6235,366.76,1150,67.65,1460.43,9032920,531348.25,3120.62,183.57,2846.54,167.44,596.78,35.1,4015.1,236.18,2404.2,141.42,144.64,8.51,125.36,7.37,0.15,830,48.82,1824.6,107.33,2454.9,144.41,1646.21,96.84,4917.73,289.28,4459.64,262.33,2104.29,123.78,3493.92,205.52,1791.04,105.36,1278.96,75.23,8,0.47,12,0.71
BOOM SQUAD,alexgbuckets,14,7,50,5030,359.29,12,0.86,7,0.5,18,1.29,31,2.21,94,6.71,34,2.43,10,0.71,38.71,277.1,54.22,25177,1798.36,18115,1293.93,7062,504.43,229,16.36,633,45.21,4986,356.14,3391,242.21,1595,113.93,49,3.5,144,10.29,365.77,26.13,880.8,62.91,3746,267.57,4895,349.64,1458,104.14,1357.87,7081592,505828,3157.78,225.56,2000.34,142.88,362.81,25.91,3757.12,268.37,1678.65,119.9,85.18,6.08,61.88,4.42,0.22,286,20.43,1749.9,124.99,1824.4,130.31,1327.61,94.83,4193.35,299.52,3981.25,284.38,1539.63,109.97,3207.11,229.08,1371.22,97.94,942.63,67.33,7,0.5,12,0.86
BOOM SQUAD,alexgbuckets1,3,3,100,1232,410.67,6,2,0,0,2,0.67,8,2.67,10,3.33,4,1.33,0,0,75,283.43,55.48,4984,1661.33,3769,1256.33,1215,405,48,16,109,36.33,1050,350,716,238.67,334,111.33,9,3,30,10,52.99,17.66,149.46,49.82,516,172,1084,361.33,203,67.67,1396.77,1366234,455411.34,577.74,192.58,387.43,129.14,72.71,24.24,665.48,221.83,348.13,116.04,24.26,8.09,8.39,2.8,0.19,44,14.67,312.9,104.3,326.8,108.93,236.8,78.93,801.08,267.03,712.17,237.39,325.69,108.56,542.14,180.71,290.14,96.71,205.6,68.53,0,0,2,0.67
BOOSTIALITY,PimpedCaravan,18,8,44.44,1600,88.89,2,0.11,1,0.06,7,0.39,8,0.44,114,6.33,35,1.94,7,0.39,25,110.36,45.34,13493,749.61,7005,389.17,6488,360.44,89,4.94,566,31.44,1356,75.33,58,3.22,1298,72.11,1,0.06,113,6.28,815.25,45.29,1678.55,93.25,2913,161.83,2088,116,54,3,1006.85,6618317,367684.28,5960.52,331.14,1006.06,55.89,144.15,8.01,5732.72,318.48,1328.38,73.8,49.6,2.76,148.34,8.24,0.48,307,17.06,3161.2,175.62,1814.9,100.83,1531.63,85.09,5579.12,309.95,5861.63,325.65,1249.12,69.4,5032.04,279.56,1457.11,80.95,621.61,34.53,4,0.22,8,0.44
BOOSTIALITY,The Pontiac Bandit,18,8,44.44,9555,530.83,25,1.39,5,0.28,27,1.5,80,4.44,114,6.33,35,1.94,9,0.5,31.25,408.87,51.18,47734,2651.89,37820,2101.11,9914,550.78,460,25.56,853,47.39,10204,566.89,7209,400.5,2995,166.39,89,4.94,258,14.33,828.67,46.04,1121.05,62.28,5788,321.56,7662,425.67,1256,69.78,1450.35,9847610,547089.44,3593.11,199.62,2687.79,149.32,848.84,47.16,4349.76,241.65,2514.44,139.69,265.5,14.75,180.13,10.01,0.1,1784,99.11,1738.6,96.59,2847.9,158.22,1708.84,94.94,5420.88,301.16,4817.96,267.66,2311.75,128.43,3735.65,207.54,1962.46,109.03,1431.65,79.54,11,0.61,5,0.28
BOOSTIALITY,WhiteSox-15,18,8,44.44,5605,311.39,7,0.39,10,0.56,25,1.39,41,2.28,114,6.33,35,1.94,19,1.06,17.07,247.29,48.51,30015,1667.5,18316,1017.56,11699,649.94,228,12.67,1007,55.94,6019,334.39,3286,182.56,2733,151.83,41,2.28,235,13.06,716.67,39.82,849.67,47.2,4910,272.78,4472,248.44,765,42.5,1219.99,8270997,459499.84,4674.54,259.7,2093.71,116.32,362.06,20.11,5067.05,281.5,1959.7,108.87,103.54,5.75,236.29,13.13,0.18,1289,71.61,2317.3,128.74,2316.6,128.7,1585.18,88.07,5545.09,308.06,5030.68,279.48,2099.58,116.64,4014.22,223.01,1941.24,107.85,1174.84,65.27,4,0.22,6,0.33
BRONZEBACK,Exyxz,17,9,52.94,9018,530.47,26,1.53,9,0.53,25,1.47,84,4.94,98,5.76,36,2.12,15,0.88,30.95,507.63,48.41,50495,2970.29,42192,2481.88,8303,488.41,497,29.24,736,43.29,7966,468.59,5343,314.29,2623,154.29,62,3.65,236,13.88,909.12,53.48,608.57,35.8,9120,536.47,7105,417.94,716,42.12,1601.31,9192343,540726.06,2406.58,141.56,2609.4,153.49,1085.85,63.87,3432.73,201.93,2404.66,141.45,264.44,15.56,157.32,9.25,0.11,1456,85.65,1900.2,111.78,2167.3,127.49,1270.14,74.71,4831.71,284.22,4068.61,239.33,2033.22,119.6,3122.71,183.69,1784.52,104.97,1194.59,70.27,14,0.82,7,0.41
BRONZEBACK,OvercastCone1,17,9,52.94,1021,60.06,3,0.18,1,0.06,1,0.06,6,0.35,98,5.76,36,2.12,9,0.53,50,177.68,56.31,18830,1107.65,9406,553.29,9424,554.35,131,7.71,843,49.59,2878,169.29,843,49.59,2035,119.71,13,0.76,180,10.59,258.12,15.18,662.6,38.98,2151,126.53,4171,245.35,513,30.18,1257.58,7217359,424550.53,4144.55,243.8,1773.94,104.35,188.35,11.08,4724.23,277.9,1334.1,78.48,48.52,2.85,200.33,11.78,0.37,542,31.88,2159,127,1758.5,103.44,1554.38,91.43,4552.45,267.79,4481.15,263.6,1625.68,95.63,3353.02,197.24,1914.39,112.61,839.41,49.38,3,0.18,8,0.47
BRONZEBACK,TheRealMrBest,17,9,52.94,5714,336.12,14,0.82,5,0.29,20,1.18,47,2.76,98,5.76,36,2.12,12,0.71,29.79,250.52,50.23,25293,1487.82,15766,927.41,9527,560.41,193,11.35,818,48.12,5340,314.12,2634,154.94,2706,159.18,33,1.94,228,13.41,418.4,24.61,692.19,40.72,2351,138.29,3664,215.53,630,37.06,1306.06,7473737,439631.59,3785.76,222.69,2021.18,118.89,305.73,17.98,3845.34,226.2,2085.89,122.7,181.43,10.67,80.13,4.71,0.18,433,25.47,1863.1,109.59,1954.8,114.99,1437.43,84.55,4675.25,275.01,4160.35,244.73,1952.32,114.84,3264.74,192.04,1703.84,100.23,1144.09,67.3,5,0.29,4,0.24
CROSSBAR KINGS,Geko,19,15,78.95,9752,513.26,31,1.63,10,0.53,36,1.89,70,3.68,104,5.47,32,1.68,6,0.32,44.29,389.34,51.55,44740,2354.74,32948,1734.11,11792,620.63,413,21.74,1068,56.21,12187,641.42,7932,417.47,4255,223.95,99,5.21,398,20.95,716.86,37.73,701.57,36.92,7016,369.26,8525,448.68,2037,107.21,1510.18,10015015,527106.06,3279.25,172.59,2803.17,147.54,946.04,49.79,4424.38,232.86,2422.03,127.48,182.06,9.58,161.63,8.51,0.11,1454,76.53,1988.9,104.68,2747.7,144.62,1962.87,103.31,5065.61,266.61,4300.11,226.32,2728.32,143.6,3257.96,171.47,1988.03,104.63,1782.51,93.82,51,2.68,10,0.53
